# Nmap 7.60 scan initiated Wed Apr  4 20:03:54 2018 as: nmap -p 139,445 -v -oG nmap.txt 192.168.91.0/24
# Ports scanned: TCP(2;139,445) UDP(0;) SCTP(0;) PROTOCOLS(0;)
Host: 192.168.91.0 ()   Status: Up
Host: 192.168.91.0 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.1 ()   Status: Up
Host: 192.168.91.1 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.2 ()   Status: Up
Host: 192.168.91.2 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.3 ()   Status: Up
Host: 192.168.91.3 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.4 ()   Status: Up
Host: 192.168.91.4 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.5 ()   Status: Up
Host: 192.168.91.5 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.6 ()   Status: Up
Host: 192.168.91.6 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.7 ()   Status: Up
Host: 192.168.91.7 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.8 ()   Status: Up
Host: 192.168.91.8 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.9 ()   Status: Up
Host: 192.168.91.9 ()   Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.10 ()  Status: Up
Host: 192.168.91.10 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.11 ()  Status: Up
Host: 192.168.91.11 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.12 ()  Status: Up
Host: 192.168.91.12 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.13 ()  Status: Up
Host: 192.168.91.13 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.14 ()  Status: Up
Host: 192.168.91.14 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.15 ()  Status: Up
Host: 192.168.91.15 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.16 ()  Status: Up
Host: 192.168.91.16 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.17 ()  Status: Up
Host: 192.168.91.17 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.18 ()  Status: Up
Host: 192.168.91.18 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.19 ()  Status: Up
Host: 192.168.91.19 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.20 ()  Status: Up
Host: 192.168.91.20 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.21 ()  Status: Up
Host: 192.168.91.21 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.22 ()  Status: Up
Host: 192.168.91.22 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.23 ()  Status: Up
Host: 192.168.91.23 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.24 ()  Status: Up
Host: 192.168.91.24 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.25 ()  Status: Up
Host: 192.168.91.25 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.26 ()  Status: Up
Host: 192.168.91.26 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.27 ()  Status: Up
Host: 192.168.91.27 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.28 ()  Status: Up
Host: 192.168.91.28 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.29 ()  Status: Up
Host: 192.168.91.29 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.30 ()  Status: Up
Host: 192.168.91.30 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.31 ()  Status: Up
Host: 192.168.91.31 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.32 ()  Status: Up
Host: 192.168.91.32 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.33 ()  Status: Up
Host: 192.168.91.33 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.34 ()  Status: Up
Host: 192.168.91.34 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.35 ()  Status: Up
Host: 192.168.91.35 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.36 ()  Status: Up
Host: 192.168.91.36 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.37 ()  Status: Up
Host: 192.168.91.37 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.38 ()  Status: Up
Host: 192.168.91.38 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.39 ()  Status: Up
Host: 192.168.91.39 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.40 ()  Status: Up
Host: 192.168.91.40 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.41 ()  Status: Up
Host: 192.168.91.41 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.42 ()  Status: Up
Host: 192.168.91.42 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.43 ()  Status: Up
Host: 192.168.91.43 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.44 ()  Status: Up
Host: 192.168.91.44 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.45 ()  Status: Up
Host: 192.168.91.45 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.46 ()  Status: Up
Host: 192.168.91.46 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.47 ()  Status: Up
Host: 192.168.91.47 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.48 ()  Status: Up
Host: 192.168.91.48 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.49 ()  Status: Up
Host: 192.168.91.49 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.50 ()  Status: Up
Host: 192.168.91.50 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.51 ()  Status: Up
Host: 192.168.91.51 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.52 ()  Status: Up
Host: 192.168.91.52 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.53 ()  Status: Up
Host: 192.168.91.53 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.54 ()  Status: Up
Host: 192.168.91.54 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.55 ()  Status: Up
Host: 192.168.91.55 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.56 ()  Status: Up
Host: 192.168.91.56 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.57 ()  Status: Up
Host: 192.168.91.57 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.58 ()  Status: Up
Host: 192.168.91.58 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.59 ()  Status: Up
Host: 192.168.91.59 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.60 ()  Status: Up
Host: 192.168.91.60 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.61 ()  Status: Up
Host: 192.168.91.61 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.62 ()  Status: Up
Host: 192.168.91.62 ()  Ports: 139/filtered/tcp//netbios-ssn///, 445/filtered/tcp//microsoft-ds///
Host: 192.168.91.63 ()  Status: Up
